Id,Description,Subtitle,Title,AgeRange,Author,Country,CoverImageUrl
books/4962,"Hu na tshifhinga tshe tshigwada tsha naledzi dza mivhala dza vhuya dza vhusa inwe kuda ya lutombo. Dzo vha dzi tshi humbula zwauri dzi khwine kha naledzi tshena nahone dza dikukumusa lwa phosho vhusikui hothe. Mafhedziseloni,naledzi tshena dza sa tsha zwi kondelela. Ho bevelela mini musi paledzi dza tshi kombetshedsea u tutshela lutombo dza swika mutavhani wo omaho wa Lifhasi?\r\n",null,Naledzi Ndundumani dza Mutavha,6-8 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8538/8673993297_ddfd3f9e1e_m.jpg
books/4993,Iqela leenkwenkwezi ezimibalabala laliphethe icala lonke lesibhakabhaka. Zazicinga ukuba zingcono kuneenkwenkwezi ezimhlophe kwaye zazidlisela ngoko ubusuku bonke. Ekugqibeleni iinkwenkwezi ezimhlope zadikwa yeyokosa. Kwenzeka ntoni mini iinkwekwezi ezimibalabala zanyanzelwa ukuba zisisihiye isibhakabhaka zize kutsho kwintlabathi engumqwebedu eqhumayo yasemhlabeni?\r\n,null,Iinkwenkwezi ezikwiingquzu zentlabathi,6-8 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8544/8672258086_e727ee6ac7_m.jpg
books/4994,"Ntlawa wa tinyeleti ta mihlovohlovo ti tshama ti fuma eka khona yin'wana ya tilo. A ti anakanya leswaku ti antswa ku tlula tinyeleti leti to basa ti tlhea ti tinyungubyisa ti ri karhi ti ba huwa ni vusiku. Eku heteleleni, tinyeleti leti to basa a ta ha swi kotanga kuva ti swi tiyisela. Ku humelele yini loko tinyeleti ta mihlovohlovo ti bohekile ku suka etilweni ti wela emisaveni ya sava lero oma?\r\n",null,Tinyeleti ehenhla ka tintshava ta sava,6-8 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8531/8672248032_99c74f4e32_m.jpg
books/4995,"Ibutho lezinkanyezi ezinemibalabala lake labusa uhlangothi oluthile lwesibhakabhaka. Lezi zinkanyezi zazizibona zingcono kunezinye izikanyesi ezazinombala omhlope kuphela,zihlala zizgcona njalo ebusuku. Ekugcineni, izikanyezi ezinombala omhlope zacasuka. Kwenzekani ngesikhathi izinkanyezi ezinemibalabala zixoshwa esibhakabhakeni,zizthola sezisesihlabathini esomile nesinothuli lapha phansi emhlabeni?\r\n",null,Izinkanyezi ezisezidulini,6-8 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8539/8670955257_8e0db4f109_m.jpg
books/4996,"Vuyo is a little South African boy who loves to play! Young children everywhere will enjoy the simple text and delightfully detailed illustrations, which describe the things he enjoys playing with - and how he loves playing with other children most of all.\r\n",null,Vuyo's Day,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8522/8672182962_3ba316acbf_m.jpg
books/4997,Vuyo is 'n klein Suid-Afrikaanse seuntjie wat baie graag speel! Die eenvoudige teks en besonderse illustrasies sal tot almal spreek. Kinders van oraloor sal dit geniet om te lees van al die dinge warmee Vuyo graag speel - en dat hy dit die meeste geniet om met ander kinders te speel!\r\n,null,Vuyo se dag,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8382/8672184092_bac4fa4475_m.jpg
books/4998,Uvuyo musanyana omcane weSewula Afrika othanda ukudlala! Abentwana abancani kiyo yoke indawo bazokuthabela umtlolo olula lo begodu nemigwalo ethabisako ekhombisa izinto athanda ukudlala ngazo -  begodu ukudlula koke bona uthanda njani ukudlala nabanye abentwana!\r\n,null,Ilanga likaVuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8396/8671079325_833cf14fc4_m.jpg
books/4999,"Vuyo ke mosimane o monnyane wa Afrika Borwa Yo a ratago go raloka! Bana ba lefase le ka bophara ba tla rata sengwalwa se ka gore se ngwadilwe  ka mokgwa o bonolo, e bile go na le diswantsho tsa go kgahlisa tseo di hlalsago dilo  tseo di hlalosago dilo tseo banan ba ratago go raloka ka tsona le k mokgwa o ba ratago go raloka le bana ba bangwe ka gona!\r\n",null,Letsatsi la Vuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8401/8672178174_99cbe41dcc_m.jpg
books/5000,"Vuyo ke moshanyana wa mo Afrik-Borwa ya ratang papadi haholo! Bana ba banyenyane hohle ba tla thabela sengolwa se balehang le ho utlwisiseha ha bobe mme se tshwatshitswe le ho hlaloswa ka tshwanelo ka dintho tseo ba thabelang ho bapala ka tsona, le ka moo ba ratang ho bapala lee bana ba bang.\r\n",null,Letsatsi la Vuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8535/8671072409_afa0ee515a_m.jpg
books/5001,"Vuyo ke mosimanyana wa Aforika Borwa yo a ratang go tshameka! Bana botlhe ba tl itumelela kgang e e bonolole ditshwantsho tse dintle tse di dirisitsweng go tlhalosa dilo tse a itumelelang go tsahameka ka tsona -  godimo ga moo, le gore o itumelela jang go tshameka le bana ba bangwe!\r\n",null,letsatsi la ga Vuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8529/8672169344_1d159daa3a_m.jpg
